learn-003	劣币驱逐良币	那它成立需要什么条件？
learn-007	购买力平价	那相对形式看什么变化？
learn-010	固定汇率与浮动汇率	那维护稳定会带来什么代价？
learn-014	商业银行的四个职能	那第四项具体是什么？
learn-017	存款保险制度	那这份资料能说明目前限额吗？
learn-019	最后贷款人	那流动性问题与偿付能力能混同吗？
learn-024	投资基金	那专业管理是不是保本？
learn-032	名义利率与实际利率	那应该用哪种口径看购买力？
learn-035	利率走廊	那上限对应哪一种便利？
learn-040	原始存款、派生存款与信用创造	那商品数量也跟着增加吗？
sim-calendar	发行排期	那合同期限能由Skill调整吗？
sim-weekly	周报质检	那缺失金额可以填零吗？
sim-onboarding	开户字段时点	那首次入金之后的信息能前移吗？
sim-kep	案件邮件核查	那找到发送记录意味着什么？
sim-feature	特征策略预检	那它能立即生效吗？
sim-financial	模拟三表核对	那现金下降的原因怎么确认？
