learn-008,learn-009	请分别解释双边汇率的标价方式与一篮子有效汇率的用途。
learn-011,learn-032	资本化使用的折现率假设，与名义和实际收益的区别应如何分别说明？
learn-014,learn-018	商业银行和中央银行分别有哪些职能？请分开列出。
learn-017,learn-019	存款保险与最后贷款人的目的和使用边界有什么不同？
learn-020,learn-029	金融市场的功能与金融基础设施的职责分别是什么？
learn-021,learn-025	短期与长期融资市场的区别，与直接和间接融资的区别是同一维度吗？
learn-022,learn-043	先解释回购的融资实质，再说明央行正回购的资金方向。
learn-023,learn-052	请分别说明期权与互换的定义，以及信用和市场风险的区别。
learn-024,learn-056	集合资金进行投资与把资产现金流证券化，是同一类安排吗？
learn-026,learn-055	金融体系从功能观察，与传统银行发生金融脱媒应该怎样分别理解？
learn-030,learn-031	请区分支付清算系统的环节与中央交易对手的角色。
learn-032,learn-044	名义利息增长怎样结合通货膨胀和货币幻觉理解？
learn-033,learn-036	请分别列出利率理论的三种观点和凯恩斯持币的三种动机。
learn-035,learn-046	利率走廊的上下界是什么，传统货币政策工具又有哪些？
learn-037,learn-048	流动性陷阱和货币政策时滞分别解释了哪种传导困难？
learn-038,learn-039	剑桥现金余额说与恒久性收入概念分别关注什么？
learn-040,learn-042	原始存款如何引出派生存款，以及为什么简单存款扩张倍数并不固定？
learn-045,learn-047	通胀和失业之间的关系，与宏观审慎关注的风险如何分别说明？
learn-049,learn-050	收益率曲线倒挂是什么，期限结构三种理论又怎样解释曲线？
sim-calendar,sim-weekly	发行排期和周报清洗分别应检查哪些日期与数据口径？
