1	11	货币职能	货币的职能可从价值尺度、流通手段、贮藏手段、支付手段和世界货币理解。价值尺度让商品用价格比较；流通手段充当交易媒介；贮藏手段用于保存价值；支付手段用于清偿债务等转移；世界货币涉及国际交换。上传笔记另按赋予价格形态、购买和支付、积累与保存价值归纳。两种框架的分组方式不同。
2	10	价值尺度、流通手段与支付手段的区别	价值尺度回答“值多少”，标价不要求当场付款。流通手段回答“怎样成交”，货币作为交换媒介。支付手段回答“怎样清偿”，例如延期付款和偿付债务。三者关注不同经济环节，不是三种互相排斥的货币。
3	10	劣币驱逐良币	格雷欣法则讨论两种实际价值不同、法定兑换比例固定的货币同时流通时，高价值货币被收藏、熔化或输出，低价值货币留在流通中的现象。必须保留法定比价等前提，不能把任何质量竞争都机械套入。
4	10	信用货币与足值货币	足值货币的面额与作为商品的内在价值对应。信用货币不直接以可兑换贵金属价值为基础，通过制度和信用关系发挥货币职能。相关讨论属于货币制度演变，不是投资标的价值承诺。
5	10	金本位与金平价	金本位以一定黄金重量规定货币单位；不同货币的含金量之比形成金平价。学习材料区分金币本位、金块本位和金汇兑本位。这属于特定历史制度，不是浮动汇率的一般报价公式。
6	13	特里芬难题	储备货币发行国需要向世界提供流动性，但海外债权持续积累又可能削弱对兑换承诺的信心。材料将此放在布雷顿森林体系的美元与黄金兑换背景中解释。先说明历史制度，再分析矛盾。
7	13	购买力平价	购买力平价从货币所能购买的商品比较汇率。绝对形式关注两国价格水平之比，相对形式关注汇率变化与通胀差异。需要考虑商品可比、贸易摩擦等条件，是分析框架而不是任意时点的精确报价。
8	16	直接标价法与间接标价法	直接标价用一单位外币对应多少本币表示；间接标价用一单位本币对应多少外币表示。直接标价的数字增大通常表示本币贬值，间接标价的数字增大表示本币升值。必须先交代分子分母。
9	13	有效汇率	有效汇率对一篮子货币进行加权，而不只看单一双边汇率。权重可反映贸易关系等结构，用来描述货币整体对外变化。名义与实际指标还要区分是否调整价格因素。
10	17	固定汇率与浮动汇率	固定汇率强调稳定或有限波动，便于国际交易核算，但维护安排可能消耗储备并约束政策。浮动汇率有价格调整作用，但波动增加贸易和融资的不确定性。现实还存在管理浮动等中间安排。
11	18	资本化	资本化根据收益和适用利率反推资本价值。P=C/r是恒定持续收益等特定条件下的简式。实际估值需要说明收益持续性、风险和折现假设，不能用一个公式替代所有资产分析。
12	19	汇票、本票与支票	汇票体现出票人委托付款人付款；本票体现出票人自己的付款承诺；支票体现委托相关存款机构付款。学习可从谁承诺、谁付款和付款时点区分，实际业务仍须核对票据条款。
13	19	项目融资	项目融资主要以项目自身的资产、预期收益或权益组织融资，常讨论有限追索或无追索结构。项目现金流、合同安排和风险分配比仅看发起人整体信用更重要。
14	24	商业银行的四个职能	商业银行的四个职能是信用中介、支付中介、信用创造和金融服务。\n1.信用中介：集中分散资金，再向资金需求者提供融资。\n2.支付中介：通过客户账户之间的划拨与转移办理支付结算。\n3.信用创造：在材料的简化准备金与存贷循环框架下形成派生存款。\n4.金融服务：利用信息和业务网络提供财务咨询、融资代理、代收代付等服务。第四项在上传笔记第24—25页跨页延续，回答不能只保留前三项。
15	24	支付中介与信用中介的区别	支付中介关注资金如何划拨、结算和清偿债务；信用中介关注资金如何从盈余方融通到需求方。两者可以由同一家银行提供，但不是同一个职能。完成转账不自动意味着新增贷款或信用创造。
16	25	商业银行资产业务、负债业务与表外业务	资产业务对应贷款、证券投资和现金资产等资金运用；负债业务对应存款和借入资金等资金来源；表外业务按具体会计口径讨论承诺、担保和衍生业务等。“表外”不等于没有信用、市场或操作风险。
17	23	存款保险制度	存款保险通过保费等制度安排，在机构不能偿付时按规定范围提供保障，目的包括保护存款人和稳定体系。保障范围、限额与机构资格属于时效性制度信息，此学习页不提供现行限额。
18	26	中央银行的三类职能	发行的银行：管理货币发行。银行的银行：集中准备金、组织清算并承担最后贷款人等职责。国家的银行：代理国库、参与公共金融事务并制定实施货币政策。三类分别对应发行、银行体系运行与公共政策。
19	26	最后贷款人	银行体系受到冲击、市场无法满足流动性需求时，中央银行提供流动性支持的制度安排。需要区分流动性困难和偿付能力问题，不能理解为任何机构损失都会得到无条件补偿。
20	28	金融市场的功能	金融市场具有配置资金、分散和转移风险、形成价格、提供流动性以及降低搜寻和信息成本等功能。风险转移改变风险承担者，并不从整体上消灭风险；功能发挥也取决于市场制度与质量。
21	29	货币市场与资本市场	货币市场主要满足短期融资和流动性需求，包括票据、回购、国库券及同业拆借等。资本市场涉及股票和较长期债权融资。比较时先看工具期限与融资功能，不能只依据交易平台名称。
22	27	回购协议	回购把证券出售与约定未来购回联系起来，可从有抵押融资理解其经济实质。一方取得资金，另一方持有相关证券作保障。期限、价格、抵押品和交易对手履约条件都会影响风险。
23	27	远期、期货、期权与互换	远期约定未来交易条件；期货通常使用标准化合约；期权赋予买方按条件交易的权利；互换约定交换现金流。应区分权利与义务、标准化与定制，以及标的和风险，不能说期货完全没有信用风险。
24	28	投资基金	投资基金集合资金，由专业管理人按约定管理，投资者分享收益并承担相应风险。理解时分别看投资范围、管理方式、费用、流动性与风险承担。“专业管理”不是保本承诺。
25	31	直接融资与间接融资	直接融资中，最终资金供给者与融资者直接形成证券等融资关系；间接融资中，金融中介吸收资金后再提供融资。是否出现承销商或交易平台不是唯一判别标准，关键在于融资关系和风险承担。
26	32	金融体系的功能观	功能观先问金融体系完成什么任务，而不只列机构名称。材料列出资源跨时空转移、风险管理、清算结算、集中资本与分割权益、提供价格信息以及缓解激励问题。
27	32	行为金融	行为金融把心理和行为纳入金融分析，讨论有限理性及判断偏差如何影响决策和价格。它提醒分析者不能总是假设所有参与者信息完整、判断无误。
28	32	影子银行	材料从传统银行体系之外的信用中介活动讨论影子银行，重点关注期限转换、流动性转换、信用转换和杠杆。具体业务认定和监管范围会变化，历史案例不能自动当作当前分类。
29	33	金融市场基础设施	金融基础设施为支付、证券保管、清算和结算等活动提供系统与安排。材料列举支付系统、中央证券托管、证券结算系统、中央交易对手与交易数据库等。名称相近不表示职责相同。
30	33	支付清算系统	支付清算系统处理经济交易形成的债权债务清偿。可以区分支付指令、机构间清算与最终结算。类比到产品状态：界面显示已提交，不自动等于最终处理完成；这句是项目说明，不是笔记原文。
31	34	中央交易对手	中央交易对手介入买卖双方，通过合约更替等成为各方的交易对手。它改变和集中风险管理方式；担保交收也不意味着体系风险消失，仍需保证金、违约管理等安排。
32	34	名义利率与实际利率	名义利率用货币金额表达回报；实际利率关注扣除价格变化后的购买力回报。比较收益不能只看名义数字，计算时还须说明采用预期通胀还是实现通胀。
33	35	古典利率理论、流动性偏好与可贷资金	古典利率理论侧重储蓄投资等实际因素；流动性偏好侧重货币供求与持币动机；可贷资金理论将实际和货币因素纳入借贷资金供需。各理论的市场、变量及假设不同，不能混用。
34	38	利率市场化	利率市场化让资金供求在利率形成中发挥作用，并建立市场利率之间的联系。这会提高机构定价和利率风险管理要求，不意味着中央银行退出货币政策。
35	61	利率走廊	央行存款便利和贷款便利为短期利率提供运行边界。通常贷款便利利率对应上限，存款便利利率对应下限。原笔记第39页与第61页表述不一致，此处采用第61页的明确表述，不提供当前利率数值。
36	42	交易动机、预防动机与投机动机	交易动机为日常支付保有货币；预防动机为意外支出保有货币；投机动机结合债券价格和利率预期，在货币与生息资产之间选择。材料将前两者主要联系收入，将投机性货币需求联系利率。
37	41	流动性陷阱	在凯恩斯分析框架中，利率很低时，人们可能更愿持有货币，新增货币难以继续有效降低利率并扩大支出。它解释特定条件下的传导受阻，不代表所有低利率经济都完全符合该模型。
38	41	费雪方程式与剑桥方程式	费雪现金交易说常用MV=PT，从宏观交易流量出发；剑桥现金余额说常用M=kPY，关注愿意持有的货币余额。变量含义和假设不同。原笔记个别公式有排印问题，应回到教材核对。
39	41	恒久性收入	恒久性收入指预期长期平均收入，区别于某一期临时波动。材料用它解释持币需求与长期财富、收益预期的关系，而不只依赖本期收入。
40	45	原始存款、派生存款与信用创造	在材料的教材框架中，原始存款增加银行准备金，存贷循环进一步形成派生存款。信用创造改变货币信用关系，不是凭空增加实际商品。必须说明采用的是简化银行体系模型。
41	46	基础货币与货币乘数	基础货币包含公众现金和银行体系相关准备金等。货币乘数m=货币供给量/基础货币，描述两者的数量比。教材简式把现金存款比、法定准备金率与超额准备金率纳入，不应把乘数当作现实固定常数。
42	48	存款扩张倍数与货币乘数	存款扩张倍数比较存款扩张与原始存款或准备金变化；货币乘数比较货币供给与基础货币。1/准备金率成立于严格简化条件，考虑现金漏损和超额准备金后不同，二者不能无条件画等号。
43	48	正回购与逆回购	从央行操作视角，正回购卖出证券并约定购回，通常对应回笼流动性；逆回购买入并约定售回，通常对应投放流动性。判断方向前必须明确是哪一方的视角。
44	54	通货膨胀与货币幻觉	通货膨胀关注商品服务总体价格的持续上涨，不是单一商品暂时涨价。货币幻觉是只看名义收入或金额，忽视购买力变化。名义收入增加时，实际购买能力未必增加。
45	54	通胀成因与菲利普斯曲线	材料讨论需求拉动、成本推动和混合因素。菲利普斯曲线讨论失业与通胀等变量的关系，滞胀经验提示简单替代关系并非一直成立，预期与供给冲击需要纳入。
46	59	货币政策的目标与传统工具	货币政策通过货币和利率等影响经济，涉及物价稳定、增长、就业及国际收支等目标协调。材料列举准备金率、再贴现和公开市场业务等传统工具；历史笔记不能确定工具的现行参数。
47	60	宏观审慎与双支柱	宏观审慎着眼于体系整体的顺周期波动与跨机构风险传染。材料的双支柱是货币政策与宏观审慎相互配合，兼顾币值及金融稳定等目标，而非两套互不相关的工作。
48	60	泰勒规则与货币政策时滞	泰勒规则用均衡实际利率、通胀、通胀缺口和产出缺口组织政策利率分析。时滞则区分认识、行动和效果出现的时间。理论公式不是当前央行决策过程的完整复制。
49	83	收益率曲线与期限结构	收益率曲线描述可比风险条件下不同期限债券的到期收益率。期限结构关注同一时点收益率与期限的关系，风险结构则比较同期限不同风险等条件。倒挂是部分长期利率低于短期，不能单凭它断言衰退必然发生。
50	83	预期理论、市场分割与流动性溢价	期限结构的三种理论：纯粹预期理论强调未来短期利率预期与期限替代；市场分割强调各期限的独立供需；流动性溢价把预期与持有长期债券所需补偿结合。先明确假设，再比较能解释的收益率曲线形态。
51	87	逆向选择与道德风险	逆向选择来自交易前的信息不对称，例如高风险融资者更积极参与；道德风险来自交易后的行为激励问题，例如融资后做出损害出资人利益的行动。先判断发生时点，再讨论筛选、监督与激励措施。
