message_id,case_no,reference_no,sent_at,delivery,synthetic
SIM-MSG-001,2026-1001,REF-001,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-002,2026-1002,REF-002,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-003,2026-1003,REF-003,2026-08-30T10:00:00+03:00,unknown,true
SIM-MSG-004,2026-1004,REF-004,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-005,2026-1005,REF-005,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-006,2026-1006,REF-006,2026-08-30T10:00:00+03:00,unknown,true
SIM-MSG-007,2026-1007,REF-007,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-008,2026-1008,REF-008,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-009,2026-1009,REF-009,2026-08-30T10:00:00+03:00,unknown,true
SIM-MSG-010,2026-1010,REF-010,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-011,2026-1011,REF-011,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-012,2026-1012,REF-012,2026-08-30T10:00:00+03:00,unknown,true
SIM-MSG-013,2026-1013,REF-013,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-014,2026-1014,REF-014,2026-08-30T10:00:00+03:00,delivered,true
SIM-MSG-015,2026-1015,REF-015,2026-08-30T10:00:00+03:00,unknown,true
SIM-DUP-001,2026-1001,REF-001,2026-08-30T10:00:00+03:00,delivered,true
